overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_0	ONWARD SAID A DISTANT VOICE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_1	THIS NOBLEMAN'S CHARACTER THOUGH CELEBRATED FOR POLITICAL COURAGE AND CONDUCT WAS VERY LOW FOR MILITARY PROWESS AND AFTER SOME SKIRMISHES IN WHICH HE WAS WORSTED HE HERE ALLOWED MONTROSE TO ESCAPE HIM
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_2	THE GOOD NATURED AUDIENCE IN PITY TO FALLEN MAJESTY SHOWED FOR ONCE GREATER DEFERENCE TO THE KING THAN TO THE MINISTER AND SUNG THE PSALM WHICH THE FORMER HAD CALLED FOR
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_3	YOU ARE ACUTE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_4	MY HEART DOTH PLEAD THAT THOU IN HIM DOST LIE A CLOSET NEVER PIERC'D WITH CRYSTAL EYES BUT THE DEFENDANT DOTH THAT PLEA DENY AND SAYS IN HIM THY FAIR APPEARANCE LIES
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_5	I HAD AGAIN BEEN ACTING UNDER THE INFLUENCE OF THIS MAN'S POWER
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_6	THE ROARINGS BECOME LOST IN THE DISTANCE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_7	I TAKE THIS AS MY ANSWER AND I LEAVE THE PROFESSOR TO BITE HIS LIPS WITH IMPATIENCE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_8	MY EYES FILL WITH TEARS WHEN I CONTRAST THE BLISS OF SUCH A STATE BRIGHTENED BY HOPES OF THE FUTURE WITH THE MELANCHOLY STATE I NOW LIVE IN UNCERTAIN THAT I EVER FELT TRUE CONTRITION WANDERING IN THOUGHT AND DEED LONGING FOR HOLINESS WHICH I SHALL NEVER NEVER OBTAIN SMITTEN AT TIMES TO THE HEART WITH THE CONVICTION THAT GHASTLY CALVINISTIC DOCTRINES ARE TRUE DARKENED IN SHORT BY THE VERY SHADOWS OF SPIRITUAL DEATH
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_9	I DID NOT EVEN TAKE THE PRECAUTION OF SMOKING UP THE CHIMNEY
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_10	HE HAD FOR HIS OWN TOWN RESIDENCE A BIG HOUSE FILLED WITH THE SPOILS OF TRAVEL AND THE TROPHIES OF THE CHASE BUT IT WAS TO HIS COUNTRY HOME AN OLD FAMILY PLACE IN ESSEX THAT HE WISHED HER IMMEDIATELY TO PROCEED
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_11	OR HATH HE GIVEN US ANY GIFT
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_12	HIS CONDUCT AND PRESENCE OF MIND IN THIS EMERGENCE APPEARED CONSPICUOUS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_13	THE PILED UP VAPOURS CONDENSE INTO WATER AND THE AIR PUT INTO VIOLENT ACTION TO SUPPLY THE VACUUM LEFT BY THE CONDENSATION OF THE MISTS ROUSES ITSELF INTO A WHIRLWIND
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_14	AGAIN I THANK YOU THIS INCIDENT I SUPPOSE WILL BE RENEWED NO MORE IF I LIVE TO BE AN OLD WOMAN I SHALL REMEMBER IT THIRTY YEARS HENCE AS A BRIGHT DREAM
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_15	SHE IS UNDER SAIL BUT SHE IS COUNT TIMASCHEFF'S YACHT HE WAS RIGHT
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_16	I'LL TRY IF I KNOW ALL THE THINGS I USED TO KNOW
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_17	ITS DEPTH REMAINED INVARIABLE STILL FOUR OR AT MOST FIVE FATHOMS AND ALTHOUGH ITS BOTTOM WAS ASSIDUOUSLY DREDGED IT WAS ONLY TO PROVE IT BARREN OF MARINE PRODUCTION OF ANY TYPE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_18	CONGRATULATIONS WERE POURED IN UPON THE PRINCESS EVERYWHERE DURING HER JOURNEY
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_19	THERE IS OF COURSE A DIFFERENCE BETWEEN KNOWING THE TEMPORAL RELATION OF A REMEMBERED EVENT TO THE PRESENT AND KNOWING THE TIME ORDER OF TWO REMEMBERED EVENTS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_20	DREADING THE SUPERIOR POWER OF ARGYLE WHO HAVING JOINED HIS VASSALS TO A FORCE LEVIED BY THE PUBLIC WAS APPROACHING WITH A CONSIDERABLE ARMY MONTROSE HASTENED NORTHWARDS IN ORDER TO ROUSE AGAIN THE MARQUIS OF HUNTLEY AND THE GORDONS WHO HAVING BEFORE HASTILY TAKEN ARMS HAD BEEN INSTANTLY SUPPRESSED BY THE COVENANTERS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_21	HUSBAND THE NEXT THING TO A WIFE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_22	CAN YOU IMAGINE WHY BUCKINGHAM HAS BEEN SO VIOLENT I SUSPECT
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_23	CRIED THE LADIES WHOSE DEPARTURE HAD BEEN FIXED
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_24	I CAN SET TO WORK NOW TO REMEMBER THINGS I NEVER REMEMBERED BEFORE SUCH AS WHAT I HAD TO EAT FOR BREAKFAST THIS MORNING AND IT CAN HARDLY BE WHOLLY HABIT THAT ENABLES ME TO DO THIS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_25	THOUGH THROWN INTO PRISON FOR THIS ENTERPRISE AND DETAINED SOME TIME HE WAS NOT DISCOURAGED BUT STILL CONTINUED BY HIS COUNTENANCE AND PROTECTION TO INFUSE SPIRIT INTO THE DISTRESSED ROYALISTS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_26	SHE A TORY AND CLERGYMAN'S DAUGHTER WAS ALWAYS IN A MINORITY OF ONE IN OUR HOUSE OF VIOLENT DISSENT AND RADICALISM
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_27	HAVE MERCY LORD ON ME I PRAY FOR MEN WOULD ME DEVOUR
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_28	HE QUITTED THE FIRE AND DROPPED BACK INTO HIS CHAIR
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_29	POOR DOUGLAS BEFORE HIS DEATH WHEN IT WAS IN SIGHT COMMITTED TO ME THE MANUSCRIPT THAT REACHED HIM ON THE THIRD OF THESE DAYS AND THAT ON THE SAME SPOT WITH IMMENSE EFFECT HE BEGAN TO READ TO OUR HUSHED LITTLE CIRCLE ON THE NIGHT OF THE FOURTH
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_30	INDEED THERE WERE ONLY ONE OR TWO STRANGERS WHO COULD BE ADMITTED AMONG THE SISTERS WITHOUT PRODUCING THE SAME RESULT
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_31	WE WON'T TALK ABOUT HER ANY MORE IF YOU'D RATHER NOT WE INDEED
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_32	THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_33	THERE IS NO FEAR OF THAT SIR
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_34	THE SCOTTISH GENERALS AND COMMISSIONERS AFFECTED GREAT SURPRISE ON THE APPEARANCE OF THE KING AND THOUGH THEY PAID HIM ALL THE EXTERIOR RESPECT DUE TO HIS DIGNITY THEY INSTANTLY SET A GUARD UPON HIM UNDER COLOR OF PROTECTION AND MADE HIM IN REALITY A PRISONER
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_35	IN THE MEANTIME I HAD FORMED A NEW IDEA OF HER
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_36	AT NOON THE VIOLENCE OF THE STORM REDOUBLES
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_37	THEIR WALK CONTINUED SILENT FOR THE GREATER PART NEITHER WAS QUITE SATISFIED WITH THE OTHER BUT RACHEL AT LAST SAID
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_38	UNLIKE HIS MASTER HE MADE NO PRETENSION TO ANY GIFT OF POETIC POWER BUT HIS INEXHAUSTIBLE MEMORY MADE HIM A LIVING ENCYCLOPAEDIA AND FOR HIS STOCK OF ANECDOTES AND TROOPER'S TALES HE WAS MATCHLESS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_39	IN ACTUAL FACT THERE ARE DOUBTLESS VARIOUS FACTORS THAT CONCUR IN GIVING US THE FEELING OF GREATER OR LESS REMOTENESS IN SOME REMEMBERED EVENT
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_40	AND HOW ODD THE DIRECTIONS WILL LOOK
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_41	NOTHING WAS TO BE DONE BUT TO PUT ABOUT AND RETURN IN DISAPPOINTMENT TOWARDS THE NORTH
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_42	WON'T YOU TELL DOUGLAS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_43	THOUGH THE DISCIPLINE OF THE FORMER PARLIAMENTARY ARMY WAS NOT CONTEMPTIBLE A MORE EXACT PLAN WAS INTRODUCED AND RIGOROUSLY EXECUTED BY THESE NEW COMMANDERS
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_44	ANOTHER CIRCUMSTANCE WAS MOST REMARKABLE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_45	STUNG BY ANXIETY FOR THIS LITTLE SISTER SHE UPBRAIDED MISS W FOR HER FANCIED INDIFFERENCE TO ANNE'S STATE OF HEALTH
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_46	I AM NOT DEPRECIATING IT WHEN I SAY THAT IN THESE TIMES IT IS NOT RARE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_47	HABIT IS A CONCEPT INVOLVING THE OCCURRENCE OF SIMILAR EVENTS AT DIFFERENT TIMES IF THE BEHAVIOURIST FEELS CONFIDENT THAT THERE IS SUCH A PHENOMENON AS HABIT THAT CAN ONLY BE BECAUSE HE TRUSTS HIS MEMORY WHEN IT ASSURES HIM THAT THERE HAVE BEEN OTHER TIMES
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_48	IT WAS ON THE LAST DAY OF JANUARY THAT THE REPAIRS OF THE SCHOONER WERE COMPLETED
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_49	WOMEN CAN HIDE THEIR PAIN BETTER THAN WE MEN AND BEAR IT BETTER TOO EXCEPT WHEN SHAME DROPS FIRE INTO THE DREADFUL CHALICE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_50	AT TEA TIME THEY WERE SAD AND SILENT AND THE MEAL WENT AWAY UNTOUCHED BY ANY OF THE THREE
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_51	BESIDES MEMBERS OF PARLIAMENT WHO WERE EXCLUDED MANY OFFICERS UNWILLING TO SERVE UNDER THE NEW GENERALS THREW UP THEIR COMMISSIONS AND UNWARILY FACILITATED THE PROJECT OF PUTTING THE ARMY ENTIRELY INTO THE HANDS OF THAT FACTION
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_52	MISSUS GRIFFIN HOWEVER EXPRESSED THE NEED FOR A LITTLE MORE LIGHT
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_53	NO MATTER THEN ALTHOUGH MY FOOT DID STAND UPON THE FARTHEST EARTH REMOV'D FROM THEE FOR NIMBLE THOUGHT CAN JUMP BOTH SEA AND LAND AS SOON AS THINK THE PLACE WHERE HE WOULD BE BUT AH
overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_54	FOR A FEW MILES SHE FOLLOWED THE LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA BUT NO LAND APPEARED TO THE SOUTH
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_0	IF CHRISTIAN PERFECTION BE NECESSARY TO SALVATION I SHALL NEVER BE SAVED MY HEART IS A VERY HOTBED FOR SINFUL THOUGHTS AND WHEN I DECIDE ON AN ACTION I SCARCELY REMEMBER TO LOOK TO MY REDEEMER FOR DIRECTION
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_1	HIS HAT HAD A PEAKED CROWN AND A FLAT BRIM AND AROUND THE BRIM WAS A ROW OF TINY GOLDEN BELLS THAT TINKLED WHEN HE MOVED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_2	OH BUT I'M GLAD TO GET THIS PLACE MOWED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_3	WHEN IT IS A QUESTION OF PROBING A WOUND A GULF A SOCIETY SINCE WHEN HAS IT BEEN CONSIDERED WRONG TO GO TOO FAR TO GO TO THE BOTTOM
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_4	OJO EXAMINED THIS CURIOUS CONTRIVANCE WITH WONDER
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_5	SHE PUSHED HIM TOWARD THE BIG CHAIR BY THE FIRE AND SAT DOWN ON A STOOL AT THE OPPOSITE SIDE OF THE HEARTH HER KNEES DRAWN UP TO HER CHIN LAUGHING LIKE A HAPPY LITTLE GIRL
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_6	THE HEAD OF THE PATCHWORK GIRL WAS THE MOST CURIOUS PART OF HER
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_7	WE MAY BE STOPPED THE FACT MAY BE PUT TO US IN GENERAL TERMS WHICH IS ONE WAY OF ATTENUATING IT WE MAY BE TOLD THAT ALL TRADES PROFESSIONS IT MAY BE ADDED ALL THE ACCIDENTS OF THE SOCIAL HIERARCHY AND ALL FORMS OF INTELLIGENCE HAVE THEIR OWN SLANG
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_8	DON'T CRY DON'T CRY HE WHISPERED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_9	YOU MUST KNOW SAID MARGOLOTTE WHEN THEY WERE ALL SEATED TOGETHER ON THE BROAD WINDOW SEAT THAT MY HUSBAND FOOLISHLY GAVE AWAY ALL THE POWDER OF LIFE HE FIRST MADE TO OLD MOMBI THE WITCH WHO USED TO LIVE IN THE COUNTRY OF THE GILLIKINS TO THE NORTH OF HERE
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_10	I'M SURE ALEXANDRA HOPES YOU WILL STAY ON HERE SHE MURMURED
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_11	THAT IS WHY WE CRY EDUCATION SCIENCE
overlap_ratio_0.0_sil2.9_3.0_session1_actual0.0_utterance_12	HE WAS A SPLENDID FIGURE OF A BOY TALL AND STRAIGHT AS A YOUNG PINE TREE WITH A HANDSOME HEAD AND STORMY GRAY EYES DEEPLY SET UNDER A SERIOUS BROW
